Classement;Pays;Total de points;Points précédents;+/-
1;France;1877.32;1870.00;+7.32
2;Espagne;1876.40;1877.18;-0.78
3;Argentine;1874.81;1873.33;+1.49
4;Angleterre;1825.97;1834.12;-8.15
5;Portugal;1763.83;1760.38;+3.45
6;Brésil;1761.16;1760.46;+0.70
7;Pays-Bas;1757.87;1756.27;+1.60
8;Maroc;1755.87;1736.57;+19.30
9;Belgique;1734.71;1730.71;+4.01
10;Allemagne;1730.37;1724.15;+6.22
11;Croatie;1717.07;1716.88;+0.18
12;Italie;1700.37;1702.06;-1.69
13;Colombie;1693.09;1701.30;-8.21
14;Sénégal;1688.99;1706.83;-17.84
15;Mexique;1681.03;1675.75;+5.28
16;États-Unis;1673.13;1681.88;-8.75
17;Uruguay;1673.07;1672.62;+0.45
18;Japon;1660.43;1650.12;+10.31
19;Suisse;1649.40;1654.69;-5.29
20;Danemark;1620.81;1616.75;+4.06
21;Iran;1615.30;1617.02;-1.72
22;Turquie;1599.04;1582.69;+16.34
23;Équateur;1594.78;1591.73;+3.06
24;Autriche;1593.45;1585.51;+7.94
25;Corée du Sud;1588.66;1599.45;-10.78
26;Nigéria;1585.09;1581.55;+3.53
27;Australie;1580.67;1574.01;+6.67
28;Algérie;1564.26;1560.91;+3.35
29;Égypte;1563.24;1556.71;+6.53
30;Canada;1556.48;1559.15;-2.67
31;Norvège;1550.94;1553.14;-2.19
32;Ukraine;1546.88;1557.47;-10.59
33;Panama;1540.64;1539.47;+1.17
34;Côte d'Ivoire;1532.98;1522.48;+10.49
35;Pologne;1528.00;1532.04;-4.04
36;Russie;1525.60;1524.52;+1.08
37;Pays de Galles;1524.29;1529.71;-5.41
38;Suède;1514.77;1487.13;+27.64
39;Serbie;1508.65;1506.34;+2.31
40;Paraguay;1503.50;1501.50;+2.00
41;Tchéquie;1501.38;1487.00;+14.38
42;Hongrie;1500.58;1496.29;+4.29
43;Écosse;1498.35;1506.77;-8.42
44;Tunisie;1483.05;1479.04;+4.01
45;Cameroun;1481.24;1482.39;-1.15
46;RD du Congo;1478.35;1468.22;+10.13
47;Grèce;1475.82;1480.38;-4.56
48;Slovaquie;1473.94;1485.65;-11.71
49;Venezuela;1468.05;1465.22;+2.82
50;Ouzbékistan;1465.34;1462.03;+3.32
51;Costa Rica;;;
52;Mali;;;
53;Pérou;;;
54;Chili;;;
55;Qatar;;;
56;Roumanie;;;
57;Irak;;;
58;Slovénie;;;
59;Irlande;;;
60;Afrique du Sud;;;
61;Arabie saoudite;;;
62;Burkina Faso;;;
63;Jordanie;;;
64;Albanie;;;
65;Bosnie-Herzégovine;;;
66;Honduras;;;
67;Macédoine du Nord;;;
68;Émirats arabes unis;;;
69;Cap-Vert;;;
70;Irlande du Nord;;;
71;Jamaïque;;;
72;Géorgie;;;
73;Finlande;;;
74;Ghana;;;
75;Islande;;;
76;Bolivie;;;
77;Israël;;;
78;Kosovo;;;
79;Oman;;;
80;Guinée;;;
81;Monténégro;;;
82;Curaçao;;;
83;Haïti;;;
84;Syrie;;;
85;Nouvelle-Zélande;;;
86;Bulgarie;;;
87;Gabon;;;
88;Ouganda;;;
89;Angola;;;
90;Bénin;;;
91;Bahreïn;;;
92;Zambie;;;
93;Thaïlande;;;
94;Chine;;;
95;Palestine;;;
96;Guatemala;;;
97;Biélorussie;;;
98;Luxembourg;;;
99;Viêt Nam;;;
100;Salvador;;;
101;Mozambique;;;
102;Trinité-et-Tobago;;;
103;Tadjikistan;;;
104;Madagascar;;;
105;Guinée équatoriale;;;
106;Arménie;;;
107;Kirghizistan;;;
108;Liban;;;
109;Comores;;;
110;Kazakhstan;;;
111;Kenya;;;
112;Libye;;;
113;Tanzanie;;;
114;Niger;;;
115;Mauritanie;;;
116;Gambie;;;
117;Soudan;;;
118;Corée du Nord;;;
119;Sierra Leone;;;
120;Namibie;;;
121;Togo;;;
122;Indonésie;;;
123;Îles Féroé;;;
124;Azerbaïdjan;;;
125;Suriname;;;
126;Chypre;;;
127;Malawi;;;
128;Rwanda;;;
129;Estonie;;;
130;Zimbabwe;;;
131;Nicaragua;;;
132;Guinée-Bissau;;;
133;République du Congo;;;
134;Koweït;;;
135;Philippines;;;
136;Inde;;;
137;Lettonie;;;
138;Malaisie;;;
139;République centrafricaine;;;
140;Libéria;;;
141;Turkménistan;;;
142;Burundi;;;
143;République dominicaine;;;
144;Éthiopie;;;
145;Lesotho;;;
146;Botswana;;;
147;Singapour;;;
148;Lituanie;;;
149;Yémen;;;
150;Guyana;;;
151;Nouvelle-Calédonie;;;
152;Saint-Christophe-et-Niévès;;;
153;Îles Salomon;;;
154;Fidji;;;
155;Hong Kong;;;
156;Porto Rico;;;
157;Tahiti;;;
158;Myanmar;;;
159;Moldavie;;;
160;Vanuatu;;;
161;Malte;;;
162;Antigua-et-Barbuda;;;
163;Grenade;;;
164;Cuba;;;
165;Eswatini;;;
166;Bermudes;;;
167;Sainte-Lucie;;;
168;Papouasie-Nouvelle-Guinée;;;
169;Afghanistan;;;
170;Soudan du Sud;;;
171;Saint-Vincent-et-les-Grenadines;;;
172;Maldives;;;
173;Andorre;;;
174;Taipei chinois;;;
175;Montserrat;;;
176;Népal;;;
177;Cambodge;;;
178;Maurice;;;
179;Barbade;;;
180;Bélize;;;
181;Bangladesh;;;
182;Dominique;;;
183;Tchad;;;
184;Érythrée;;;
185;Laos;;;
186;Bhoutan;;;
187;Mongolie;;;
188;Îles Cook;;;
189;Aruba;;;
190;Samoa;;;
191;Sri Lanka;;;
192;Samoa américaines;;;
193;Brunei Darussalam;;;
194;Macao;;;
195;Îles Caïmans;;;
196;Sao Tomé-et-Principe;;;
197;Djibouti;;;
198;Somalie;;;
199;Tonga;;;
200;Timor oriental;;;
201;Guam;;;
202;Pakistan;;;
203;Gibraltar;;;
204;Seychelles;;;
205;Turks-et-Caïcos;;;
206;Liechtenstein;;;
207;Bahamas;;;
208;Îles Vierges britanniques;;;
209;US Virgin Islands;;;
210;Anguilla;;;
211;Saint-Marin;;;
